"1 규모(5 ~ 9인)","전문대졸","여","25 ~ 29",27.0,21.1,165.0,162.6,2.4,0.5,2554
"1 규모(5 ~ 9인)","전문대졸","여","30 ~ 34",31.8,21.4,163.8,162.2,1.7,0.7,2595
"1 규모(5 ~ 9인)","전문대졸","여","35 ~ 39",37.1,20.9,160.0,158.1,1.9,0.6,2755
"1 규모(5 ~ 9인)","전문대졸","여","40 ~ 44",42.1,21.0,158.4,156.5,1.9,0.6,2777
"1 규모(5 ~ 9인)","전문대졸","여","45 ~ 49",47.0,21.1,157.1,155.2,2.0,0.3,2654
"1 규모(5 ~ 9인)","전문대졸","여","50 ~ 54",51.8,21.1,157.9,156.7,1.3,0.5,2884
"1 규모(5 ~ 9인)","전문대졸","여","55 ~ 59",56.5,21.4,158.0,153.0,5.0,3.0,2708
"1 규모(5 ~ 9인)","전문대졸","여","60세 ~",63.9,21.3,152.9,150.6,2.3,1.0,2515
"1 규모(5 ~ 9인)","대졸이상","전체","20 ~ 24",23.5,20.7,160.7,156.7,4.0,1.0,2259
"1 규모(5 ~ 9인)","대졸이상","전체","25 ~ 29",27.3,20.7,164.4,161.3,3.1,0.9,2756
"1 규모(5 ~ 9인)","대졸이상","전체","30 ~ 34",31.9,20.9,165.8,162.9,2.9,0.7,3217
"1 규모(5 ~ 9인)","대졸이상","전체","35 ~ 39",37.0,20.9,166.2,163.0,3.3,0.7,3722
"1 규모(5 ~ 9인)","대졸이상","전체","40 ~ 44",42.0,21.0,165.9,163.6,2.4,0.7,3942
"1 규모(5 ~ 9인)","대졸이상","전체","45 ~ 49",47.0,20.9,163.5,161.8,1.7,0.4,4093
"1 규모(5 ~ 9인)","대졸이상","전체","50 ~ 54",51.9,20.9,163.2,161.7,1.5,0.5,4456
"1 규모(5 ~ 9인)","대졸이상","전체","55 ~ 59",56.7,21.0,164.6,163.0,1.6,0.4,4516
"1 규모(5 ~ 9인)","대졸이상","전체","60세 ~",64.5,20.6,162.4,161.0,1.4,0.1,4536
"1 규모(5 ~ 9인)","대졸이상","남","20 ~ 24",23.4,20.8,167.1,158.8,8.3,1.3,2377
"1 규모(5 ~ 9인)","대졸이상","남","25 ~ 29",27.4,21.0,169.0,164.6,4.4,1.5,2891
